### 2016-07-14 14:11:02.554859852 +0200 CEST Data Acquisition: aaaa 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 57089,
[Ard], 11922820, 0, 1583923104, 221, -0.979736, 0.048340, -0.028809, 1.435115, 1.679389, 0.267176
[Ard], 11966266, 0, 1583962624, 220, -0.984131, 0.050537, -0.033447, 1.343511, 1.480916, 0.389313
[Ard], 12011491, 0, 1584002144, 221, -0.980713, 0.046143, -0.038574, 1.236641, 1.519084, 0.290076
[Ard], 12054510, 0, 1584041664, 221, -0.981445, 0.047119, -0.037842, 1.175573, 1.488550, 0.198473
[Ard], 12094934, 0, 1584081184, 220, -0.983398, 0.046143, -0.025391, 1.343511, 1.725191, 0.267176
[Ard], 12139208, 0, 1584120704, 222, -0.984619, 0.051758, -0.036865, 1.328244, 1.541985, 0.045802
[Ard], 12186164, 0, 1584160224, 220, -0.984131, 0.048828, -0.031738, 1.442748, 1.610687, 0.267176
[Ard], 12195340, 0, 1584199744, 221, -0.983154, 0.045410, -0.030518, 1.274809, 1.671756, 0.083969
[Ard], 12238434, 0, 1584239264, 222, -0.982666, 0.048096, -0.030029, 1.328244, 1.587786, 0.206107
[Ard], 12283859, 0, 1584278784, 220, -0.983887, 0.048828, -0.038086, 1.320611, 1.488550, 0.244275
[Ard], 12324579, 0, 1584318304, 222, -0.984619, 0.051758, -0.037598, 1.480916, 1.580153, 0.167939
[Ard], 12365089, 0, 1584357824, 220, -0.984131, 0.052002, -0.035400, 1.381679, 1.618321, 0.152672
[Ard], 12404550, 0, 1584397344, 221, -0.985352, 0.048340, -0.031494, 1.496183, 1.458015, 0.190840
[Ard], 12451397, 0, 1584436864, 221, -0.987793, 0.052490, -0.027100, 1.480916, 1.625954, 0.435115
[Ard], 12492171, 0, 1584476384, 221, -0.983398, 0.049805, -0.024414, 1.427481, 1.595420, 0.358779
[Ard], 12547622, 0, 1584515904, 222, -0.979736, 0.043701, -0.027832, 1.236641, 1.435115, 0.259542
[Ard], 12552236, 0, 1584555424, 221, -0.983643, 0.049316, -0.029053, 1.389313, 1.557252, 0.305344
[Ard], 12589635, 0, 1584594952, 222, -0.982178, 0.053467, -0.036133, 1.274809, 1.580153, 0.251908
[Ard], 12631398, 0, 1584634464, 222, -0.981201, 0.048340, -0.031250, 1.335878, 1.748092, 0.290076
[Ard], 12681906, 0, 1584673984, 222, -0.985352, 0.049316, -0.039551, 1.366412, 1.572519, 0.145038
[Ard], 12721140, 0, 1584713504, 222, -0.986572, 0.049316, -0.038330, 1.290076, 1.641221, 0.381679
[Ard], 12762918, 0, 1584753024, 220, -0.979980, 0.049561, -0.024170, 1.351145, 1.496183, 0.297710
[Ard], 12808547, 0, 1584792544, 221, -0.980713, 0.046875, -0.031494, 1.465649, 1.282443, 0.312977
[Ard], 12854058, 0, 1584832064, 221, -0.988525, 0.051514, -0.038574, 1.328244, 1.564885, 0.267176
[Ard], 12868298, 0, 1584871584, 221, -0.988770, 0.051514, -0.035400, 1.404580, 1.557252, 0.374046
[Ard], 73290042, 0, 1631174752, 220, -0.989746, 0.051514, -0.030762, 1.229008, 1.557252, 0.106870
[Ard], 73318728, 0, 1631198164, 221, -0.980225, 0.052490, -0.025635, 1.320611, 1.480916, 0.221374
[Ard], 73322780, 0, 1631237684, 222, -0.982178, 0.050537, -0.039307, 1.618321, 1.557252, 0.076336
[Ard], 73327691, 0, 1631277204, 221, -0.984863, 0.054443, -0.028076, 1.267176, 1.610687, 0.152672
[Ard], 73332131, 0, 1631316724, 222, -0.982910, 0.050781, -0.024658, 1.251908, 1.687023, 0.229008
[Ard], 73343956, 0, 1631356244, 225, -0.979492, 0.048828, -0.036377, 1.427481, 1.564885, 0.137405
[Ard], 73348785, 0, 1631395764, 222, -0.980957, 0.051758, -0.021973, 1.412214, 1.534351, 0.374046
[Ard], 73353181, 0, 1631435284, 221, -0.983887, 0.050537, -0.033936, 1.366412, 1.366412, 0.190840
[Ard], 73358013, 0, 1631474804, 221, -0.986328, 0.049072, -0.020996, 1.167939, 1.595420, 0.320611
[Ard], 73362523, 0, 1631514324, 221, -0.978760, 0.041504, -0.032959, 1.229008, 1.664122, 0.297710
[Ard], 73367139, 0, 1631553844, 220, -0.978027, 0.052490, -0.028564, 1.229008, 1.435115, 0.167939
[Ard], 73372301, 0, 1631593364, 221, -0.982422, 0.049561, -0.030762, 1.282443, 1.564885, 0.106870
[Ard], 73376822, 0, 1631632884, 221, -0.976562, 0.047852, -0.031006, 1.320611, 1.648855, 0.229008
[Ard], 73381003, 0, 1631672404, 221, -0.981689, 0.047607, -0.038574, 1.412214, 1.625954, 0.160305
[Ard], 73385663, 0, 1631711924, 221, -0.988281, 0.049805, -0.032471, 1.633588, 1.549618, 0.152672
[Ard], 73390678, 0, 1631751444, 220, -0.977539, 0.047607, -0.033447, 1.244275, 1.404580, 0.015267
[Ard], 73396542, 0, 1631790964, 221, -0.985107, 0.049805, -0.036865, 1.190840, 1.534351, 0.083969
